id,title,sherpa_ID,published_allowed,published_conditions,published_embargo,published_license,accepted_allowed,accepted_conditions,accepted_embargo,accepted_license,submitted_allowed,submitted_conditions,submitted_embargo,submitted_license
1,"3D Printing and Additive Manufacturing",37034,0,NA,NA,NA,1,"['Publisher copyright and source must be acknowledged']","no embargo",cc_by,1,"['Prior to submission only', 'Upon acceptance, must add a set statement  (see policy)', 'Upon acceptance, must link to published article with DOI', 'Must not be updated or replaced with article of record unless author pays for Open Access']","no embargo","no license available"
2,"AATCC Journal of Research",41016,0,NA,NA,NA,1,"['Published source must be acknowledged with citation', 'Upon publication, must link to publisher version with DOI', 'Must include statement that accepted for publication', 'Reuse is restricted to non-commercial and no derivative uses']","no embargo","no license available",1,"['Reuse is restricted to non-commercial and no derivative uses']","no embargo","no license available"
3,"Accounting Horizons",41016,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
4,"Accounting Perspectives",4642,0,NA,NA,NA,1,"['Published source must be acknowledged with citation']","{'units': 'months', 'units_phrases': [{'phrase': 'Months', 'value': 'months', 'language': 'en'}], 'amount': 12}","no license available",1,NA,"no embargo","no license available"
5,"Accounting, Auditing and Accountability Journal",73,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
6,"ACM Transactions on Computing for Healthcare",73,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
7,"ACM Transactions on Storage",73,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
8,ACME,73,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
9,"ACS Applied Materials and Interfaces",7761,0,NA,NA,NA,0,NA,NA,NA,1,"['Must not violate ACS ethical Guidelines', 'Must note use if preprint server in cover letter and provide link to deposit', 'Upon publication add a link to published article with DOI']","no embargo","no license available"
10,"ACS Applied Nano Materials",7761,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
11,"ACS Catalysis",18442,0,NA,NA,NA,0,NA,NA,NA,1,"['Must not violate ACS ethical Guidelines', 'Must note use if preprint server in cover letter and provide link to deposit', 'Upon publication add a link to published article with DOI']","no embargo","no license available"
12,"ACS Environmental Science and Technology Water",18442,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
13,"ACS Infectious Diseases",30804,0,NA,NA,NA,0,NA,NA,NA,1,"['Must not violate ACS ethical Guidelines', 'Must note use if preprint server in cover letter and provide link to deposit', 'Upon publication add a link to published article with DOI']","no embargo","no license available"
14,"ACS Omega",31790,1,"['Must link to publisher version']","no embargo",cc_by_nc_nd,1,"['Must link to publisher version']","no embargo",cc_by_nc_nd,0,NA,NA,NA
15,"ACS Sustainable Chemistry and Engineering",27876,0,NA,NA,NA,0,NA,NA,NA,1,"['Must not violate ACS ethical Guidelines', 'Must note use if preprint server in cover letter and provide link to deposit', 'Upon publication add a link to published article with DOI']","no embargo","no license available"
16,"Acta Acustica",37190,1,"['Published source must be acknowledged with citation']","no embargo",cc_by,0,NA,NA,NA,0,NA,NA,NA
17,"Acta Chiropterologica",37190,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
18,"Acute and Critical Care",37190,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
19,"Addictive Behaviors Reports",31059,1,"['Published source must be acknowledged', 'Must link to publisher version with DOI']","no embargo",cc_by_nc_nd,0,NA,NA,NA,1,"['Published source must be acknowledged', 'Must link to publisher version with DOI']","no embargo",cc_by_nc_nd
20,"Additive Manufacturing Letters",31059,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
21,Adipocyte,21814,1,"['Recommended to link to publisher version', 'Publisher copyright and source must be acknowledged with citation', 'Article will be automatically deposited in subject-based repositories']","no embargo",cc_by_nc,1,"['Published source must be acknowledged with citation', 'Recommended to link to published article with DOI', 'Set statement to accompany deposit']","no embargo",cc_by_nc,1,"['Published source must be acknowledged with citation', 'Recommended to link to published article with DOI', 'Set statement to accompany deposit']","no embargo",cc_by_nc
22,"Advances in Mathematics",10115,0,NA,NA,NA,1,"['Must link to publisher version with DOI']","no embargo",cc_by_nc_nd,1,"['Upon, mst link to published article with DOI']","no embargo","no license available"
23,"Advances in Space Research",4273,0,NA,NA,NA,1,"['Must link to publisher version with DOI']","no embargo",cc_by_nc_nd,1,"['Upon, mst link to published article with DOI']","no embargo","no license available"
24,"Advances in Structural Engineering",10140,0,NA,NA,NA,1,"['Published source must be acknowledged with citation', 'Upon publication, must link to publisher version with DOI', 'Must include statement that accepted for publication', 'Reuse is restricted to non-commercial and no derivative uses']","no embargo","no license available",1,"['Reuse is restricted to non-commercial and no derivative uses']","no embargo","no license available"
25,"Aeolian Research",10140,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
26,"AERA Open",32135,1,"['Published source must be acknowledged with citation']","no embargo",cc_by,1,"['Published source must be acknowledged']","no embargo","no license available",1,NA,"no embargo","no license available"
27,"African Journal of Food, Agriculture, Nutrition and Development",32135,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
28,"Aggressive Behavior",13815,0,NA,NA,NA,1,"['Publisher source must be acknowledged with citation', 'Must link to publisher version with set statement (see policy) and DOI']","{'amount': 12, 'units_phrases': [{'language': 'en', 'value': 'months', 'phrase': 'Months'}], 'units': 'months'}","no license available",1,"['Must acknowledge acceptance for publication', "May not be updated with Publisher's Version/PDF", 'Publisher source must be acknowledged with citation', 'Must link to publisher version with set statement (see policy)']","no embargo","no license available"
29,Agrekon,4914,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
