Title,ISSN
3D Printing and Additive Manufacturing,23297662
AATCC Journal of Research,23305517
Accounting Horizons,8887993
Accounting Perspectives,1911382X
"Accounting, Auditing and Accountability Journal",9513574
ACM Transactions on Computing for Healthcare,26911957
ACM Transactions on Storage,15533077
ACME,14929732
ACS Applied Materials and Interfaces,19448244
ACS Applied Nano Materials,25740970
ACS Catalysis,21555435
ACS Environmental Science and Technology Water,26900637
ACS Infectious Diseases,23738227
ACS Omega,24701343
ACS Sustainable Chemistry and Engineering,21680485
Acta Acustica,26814617
Acta Chiropterologica,15081109
Acute and Critical Care,25866052
Addictive Behaviors Reports,23528532
Additive Manufacturing Letters,27723690
Adipocyte,21623945
Advances in Mathematics,18708
Advances in Space Research,2731177
Advances in Structural Engineering,13694332
Aeolian Research,18759637
AERA Open,23328584
"African Journal of Food, Agriculture, Nutrition and Development",16845358
Aggressive Behavior,0096140X
Aging and Mental Health,13607863
Agrekon,3031853
Agribusiness,7424477
Agricultural and Environmental Letters,24719625
Agricultural and Forest Meteorology,1681923
Agricultural Water Management,3783774
Agroecology and Sustainable Food Systems,21683565
Agronomy,20734395
"Agrosystems, Geosciences and Environment",26396696
AIAA Journal,11452
AIChE Journal,11541
AIP Advances,21583226
"Air Quality, Atmosphere and Health",18739318
Alcoholism Treatment Quarterly,7347324
Alcoholism: Clinical and Experimental Research,1456008
Algebras and Representation Theory,1386923X
American Anthropologist,27294
American Biology Teacher,27685
American Journal of Botany,29122
American Journal of Clinical Nutrition,29165
American Journal of Emergency Medicine,7356757
American Journal of Family Therapy,1926187
American Journal of Physiology - Cell Physiology,3636143
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,3636119
American Journal of Public Health,900036
American Journal of Respiratory Cell and Molecular Biology,10441549
American Journal of Sexuality Education,15546128
American Journal on Addictions,10550496
American Mineralogist,0003004X
American Politics Research,1532673X
American Speech,31283
AMS Review,1869814X
Analyses of Social Issues and Public Policy,15297489
Analyst,32654
Analytica Chimica Acta,32670
Analytical Chemistry,32700
Anatomical Sciences Education,19359772
Angewandte Chemie - International Edition,14337851
Angiogenesis,9696970
Animal Cognition,14359448
Animal Science Journal,13443941
Animals,20762615
Annals of Global Analysis and Geometry,0232704X
Annals of Human Genetics,34800
Annals of Statistics,905364
Annals of Surgical Oncology,10689265
Annals of the American Association of Geographers,24694452
Antibiotics,20796382
Antioxidants,20763921
AORN Journal,12092
Appetite,1956663
Applications in Energy and Combustion Science,2666352X
Applied Acoustics,0003682X
Applied Animal Science,25902865
Applied Animal Science,25902873
Applied Catalysis A: General,0926860X
Applied Cognitive Psychology,8884080
Applied Developmental Science,10888691
Applied Economic Perspectives and Policy,20405790
Applied Economics,36846
Applied Economics Letters,13504851
Applied Environmental Education and Communication,1533015X
